attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
filename		character				
date		Date		!Add datetime specifier here!		
time		Date		!Add datetime specifier here!		
DOY		numeric	!Add units here!			
daytime		Date		!Add datetime specifier here!		
file_records		numeric	!Add units here!			
used_records		numeric	!Add units here!			
Tau		numeric	!Add units here!			
qc_Tau		numeric	!Add units here!			
H		numeric	!Add units here!			
qc_H		numeric	!Add units here!			
LE		numeric	!Add units here!			
qc_LE		numeric	!Add units here!			
co2_flux		numeric	!Add units here!			
qc_co2_flux		numeric	!Add units here!			
h2o_flux		numeric	!Add units here!			
qc_h2o_flux		numeric	!Add units here!			
ch4_flux		numeric	!Add units here!			
qc_ch4_flux		numeric	!Add units here!			
H_strg		numeric	!Add units here!			
LE_strg		numeric	!Add units here!			
co2_strg		numeric	!Add units here!			
h2o_strg		numeric	!Add units here!			
ch4_strg		numeric	!Add units here!			
co2_v-adv		numeric	!Add units here!			
h2o_v-adv		numeric	!Add units here!			
ch4_v-adv		numeric	!Add units here!			
co2_molar_density		numeric	!Add units here!			
co2_mole_fraction		numeric	!Add units here!			
co2_mixing_ratio		numeric	!Add units here!			
co2_time_lag		Date		!Add datetime specifier here!		
co2_def_timelag		Date		!Add datetime specifier here!		
h2o_molar_density		numeric	!Add units here!			
h2o_mole_fraction		numeric	!Add units here!			
h2o_mixing_ratio		numeric	!Add units here!			
h2o_time_lag		Date		!Add datetime specifier here!		
h2o_def_timelag		Date		!Add datetime specifier here!		
ch4_molar_density		numeric	!Add units here!			
ch4_mole_fraction		numeric	!Add units here!			
ch4_mixing_ratio		numeric	!Add units here!			
ch4_time_lag		Date		!Add datetime specifier here!		
ch4_def_timelag		Date		!Add datetime specifier here!		
sonic_temperature		numeric	!Add units here!			
air_temperature		numeric	!Add units here!			
air_pressure		numeric	!Add units here!			
air_density		numeric	!Add units here!			
air_heat_capacity		numeric	!Add units here!			
air_molar_volume		numeric	!Add units here!			
ET		numeric	!Add units here!			
water_vapor_density		numeric	!Add units here!			
e		numeric	!Add units here!			
es		numeric	!Add units here!			
specific_humidity		numeric	!Add units here!			
RH		numeric	!Add units here!			
VPD		numeric	!Add units here!			
Tdew		numeric	!Add units here!			
u_unrot		numeric	!Add units here!			
v_unrot		numeric	!Add units here!			
w_unrot		numeric	!Add units here!			
